ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2020-21,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
SUMMERVILLE UNION HIGH,California,CALIFORNIA,="0638280",Tuolumne County,631,31.80,19.84
SUMMIT LEADERSHIP ACADEMY-HIGH DESERT DISTRICT,CALIFORNIA,CALIFORNIA,="0601607",San Bernardino County,263,18.00,14.61
SUMMIT PREPARATORY CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602287",San Mateo County,436,17.80,24.49
SUMMIT PUBLIC SCHOOL K2 DISTRICT,CALIFORNIA,CALIFORNIA,="0601912",Contra Costa County,565,35.66,15.84
SUMMIT PUBLIC SCHOOL: DENALI DISTRICT,CALIFORNIA,CALIFORNIA,="0602169",Santa Clara County,634,40.50,15.65
SUMMIT PUBLIC SCHOOL: SHASTA DISTRICT,CALIFORNIA,CALIFORNIA,="0601648",San Mateo County,469,27.00,17.37
SUMMIT PUBLIC SCHOOL: TAHOMA DISTRICT,CALIFORNIA,CALIFORNIA,="0602222",Santa Clara County,470,27.50,17.09
SUMMIT PUBLIC SCHOOL: TAMALPAIS DISTRICT,CALIFORNIA,CALIFORNIA,="0602026",Contra Costa County,521,29.67,17.56
SUNDALE UNION ELEMENTARY,California,CALIFORNIA,="0638340",Tulare County,756,32.00,23.63
SUNNYSIDE UNION ELEMENTARY,California,CALIFORNIA,="0638430",Tulare County,354,17.01,20.81
SUNNYVALE,California,CALIFORNIA,="0638460",Santa Clara County,5950,289.42,20.56
SUNOL GLEN UNIFIED,California,CALIFORNIA,="0600021",Alameda County,273,12.08,22.60
SUNRISE MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602166",Santa Clara County,260,10.00,26.00
SURPRISE VALLEY JOINT UNIFIED,California,CALIFORNIA,="0638520",Modoc County,121,7.45,16.24
SUSANVILLE ELEMENTARY,California,CALIFORNIA,="0638550",Lassen County,1061,47.00,22.57
SUTTER COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691042",Sutter County,348,37.00,9.41
SUTTER PEAK CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601512",Sutter County,576,20.67,27.87
SUTTER UNION HIGH,California,CALIFORNIA,="0638610",Sutter County,808,35.50,22.76
SWEETWATER SECONDARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601509",San Diego County,358,10.00,35.80
SWEETWATER UNION HIGH,California,CALIFORNIA,="0638640",San Diego County,37060,1576.85,23.50
SYCAMORE ACADEMY OF SCIENCE AND CULTURAL ARTS CHINO VLY DIST,CALIFORNIA,CALIFORNIA,="0602518",San Bernardino County,251,12.88,19.49
SYCAMORE ACADEMY OF SCIENCE AND CULTURAL ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0602009",Riverside County,654,26.67,24.52
SYCAMORE CREEK COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602486",Orange County,129,6.00,21.50
SYCAMORE VALLEY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601469",Tulare County,395,13.80,28.62
SYLVAN UNION ELEMENTARY,California,CALIFORNIA,="0638670",Stanislaus County,7913,361.61,21.88
SYNERGY CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602228",Los Angeles County,310,13.00,23.85
SYNERGY KINETIC ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602078",Los Angeles County,480,17.00,28.24
SYNERGY QUANTUM ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601867",Los Angeles County,557,29.50,18.88
TAFT CITY,California,CALIFORNIA,="0638700",Kern County,2322,108.89,21.32
TAFT UNION HIGH,California,CALIFORNIA,="0638730",Kern County,1095,57.68,18.98
TAHOE-TRUCKEE UNIFIED,California,CALIFORNIA,="0638770",Nevada County,3945,219.41,17.98
TAMALPAIS UNION HIGH,California,CALIFORNIA,="0638790",Marin County,5166,267.31,19.33
TAYLION HIGH DESERT ACADEMY/ADELANTO DISTRICT,CALIFORNIA,CALIFORNIA,="0601970",San Bernardino County,212,3.94,53.81
TEACH ACADEMY OF TECHNOLOGIES DISTRICT,CALIFORNIA,CALIFORNIA,="0602202",Los Angeles County,466,16.00,29.13
TEACH PREP MILDRED S. CUNNINGHAM & EDITH H. MORRIS ELEM DIST,CALIFORNIA,CALIFORNIA,="0601575",Los Angeles County,187,6.00,31.17
TEACH TECH CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602470",Los Angeles County,421,19.74,21.33
TEAM CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602352",San Joaquin County,225,10.00,22.50
TEAM CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601846",San Joaquin County,663,29.00,22.86
TEHACHAPI UNIFIED,California,CALIFORNIA,="0638880",Kern County,3971,178.46,22.25
TEHAMA COUNTY DEPARTMENT OF EDUCATION,California,CALIFORNIA,="0691043",Tehama County,125,11.10,11.26
TEHAMA COUNTY ROP,California,CALIFORNIA,="0600146",Tehama County,="0",–,–
TEHAMA ELEARNING ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602544",Tehama County,112,5.24,21.37
TEMECULA INTERNATIONAL ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602271",Riverside County,270,14.00,19.29
TEMECULA PREPARATORY DISTRICT,CALIFORNIA,CALIFORNIA,="0602084",Riverside County,1088,50.50,21.54
TEMECULA VALLEY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602068",Riverside County,546,25.80,21.16
TEMECULA VALLEY UNIFIED,California,CALIFORNIA,="0600028",Riverside County,26710,1107.40,24.12
TEMPLE CITY UNIFIED,California,CALIFORNIA,="0638980",Los Angeles County,5482,223.54,24.52
TEMPLETON UNIFIED,California,CALIFORNIA,="0639000",San Luis Obispo County,2317,101.71,22.78
TERRA BELLA UNION ELEMENTARY,California,CALIFORNIA,="0639060",Tulare County,814,39.00,20.87
THE ACADEMY OF ALAMEDA DISTRICT,CALIFORNIA,CALIFORNIA,="0601642",Alameda County,439,21.16,20.75
THE ACADEMY OF ALAMEDA ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0602179",Alameda County,303,13.00,23.31
THE CITY DISTRICT,CALIFORNIA,CALIFORNIA,="0601668",Los Angeles County,319,14.00,22.79
THE EDUCATION CORPS DISTRICT,CALIFORNIA,CALIFORNIA,="0601873",Los Angeles County,247,6.60,37.42
THE HEIGHTS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601489",San Diego County,279,8.66,32.22
THE LANGUAGE ACADEMY OF SACRAMENTO DISTRICT,CALIFORNIA,CALIFORNIA,="0601786",Sacramento County,610,30.25,20.17
THE LEARNING CHOICE ACADEMY - EAST COUNTY DISTRICT,CALIFORNIA,CALIFORNIA,="0602498",San Diego County,374,21.14,17.69
THE NEW SCHOOL OF SAN FRANCISCO DISTRICT,CALIFORNIA,CALIFORNIA,="0602439",San Francisco County,347,24.00,14.46
THE O'FARRELL CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602136",San Diego County,1929,95.11,20.28
THERMALITO UNION ELEMENTARY,California,CALIFORNIA,="0639180",Butte County,1507,70.10,21.50
THOMAS EDISON CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602054",San Francisco County,710,33.50,21.19
THOMPSON PEAK CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601840",Lassen County,159,8.84,17.99
THREE RIVERS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601999",Mendocino County,84,4.00,21.00
THREE RIVERS UNION ELEMENTARY,California,CALIFORNIA,="0639210",Tulare County,104,8.00,13.00
TIPTON ELEMENTARY,California,CALIFORNIA,="0639300",Tulare County,527,24.00,21.96
TODAY'S FRESH START-COMPTON DISTRICT,CALIFORNIA,CALIFORNIA,="0601952",Los Angeles County,661,31.00,21.32
TOMORROW'S LEADERSHIP COLLABORATIVE (TLC) CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602272",Orange County,153,9.00,17.00
TORRANCE UNIFIED,California,CALIFORNIA,="0639420",Los Angeles County,22490,915.76,24.56
TRACY JOINT UNIFIED,California,CALIFORNIA,="0600047",San Joaquin County,14287,617.71,23.13
TRAVER JOINT ELEMENTARY,California,CALIFORNIA,="0639600",Tulare County,226,10.00,22.60
TRAVIS UNIFIED,California,CALIFORNIA,="0639630",Solano County,5284,230.07,22.97
TREE OF LIFE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602267",Mendocino County,34,3.50,9.71
TREE OF LIFE INTERNATIONAL CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602157",Shasta County,240,11.00,21.82
TRES PINOS UNION ELEMENTARY,California,CALIFORNIA,="0639690",San Benito County,61,4.01,15.21
TRI-CITIES ROP,California,CALIFORNIA,="0601346",Los Angeles County,†,†,†
TRI-CITIES ROP,California,CALIFORNIA,="0600106",Los Angeles County,="0",–,–
TRI-COUNTY ROP,California,CALIFORNIA,="0600145",Sutter County,="0",–,–
TRI-VALLEY ROP,California,CALIFORNIA,="0600084",Alameda County,="0",–,–
TRI-VALLEY ROP JPA,California,CALIFORNIA,="0601388",Alameda County,†,†,†
TRINIDAD UNION ELEMENTARY,California,CALIFORNIA,="0639720",Humboldt County,185,10.00,18.50
TRINITY ALPS UNIFIED,California,CALIFORNIA,="0601331",Trinity County,695,34.07,20.40
TRINITY CENTER ELEMENTARY,California,CALIFORNIA,="0639750",Trinity County,18,1.00,18.00
TRINITY COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691044",Trinity County,7,1.00,7.00
TRIVIUM CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602401",Santa Barbara County,326,17.94,18.17
TRIVIUM CHARTER SCHOOL ADVENTURE DISTRICT,CALIFORNIA,CALIFORNIA,="0601631",Santa Barbara County,221,13.87,15.93
TRIVIUM CHARTER SCHOOL VOYAGE DISTRICT,CALIFORNIA,CALIFORNIA,="0601938",Santa Barbara County,289,15.44,18.72
TRONA JOINT UNIFIED,California,CALIFORNIA,="0639840",San Bernardino County,259,19.40,13.35
TULARE CITY,California,CALIFORNIA,="0639870",Tulare County,9319,417.44,22.32
TULARE COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691045",Tulare County,1561,122.23,12.77
TULARE JOINT UNION HIGH,California,CALIFORNIA,="0639930",Tulare County,5700,259.08,22.00
TULELAKE BASIN JOINT UNIFIED,California,CALIFORNIA,="0639940",Siskiyou County,407,23.39,17.40
TUOLUMNE COUNTY SUPERINTENDENT OF SCHOOLS,California,CALIFORNIA,="0691046",Tuolumne County,103,12.00,8.58
TURLOCK UNIFIED,California,CALIFORNIA,="0600158",Stanislaus County,13684,621.38,22.02
TUSTIN UNIFIED,California,CALIFORNIA,="0640150",Orange County,22761,858.68,26.51
TWAIN HARTE,California,CALIFORNIA,="0640200",Tuolumne County,253,11.80,21.44
TWIN HILLS UNION ELEMENTARY,California,CALIFORNIA,="0640230",Sonoma County,1101,57.36,19.19
TWIN RIDGES ELEMENTARY,California,CALIFORNIA,="0600012",Nevada County,82,5.00,16.40
TWIN RIVERS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602278",Sutter County,472,21.50,21.95
TWIN RIVERS UNIFIED,California,CALIFORNIA,="0601332",Sacramento County,24497,1088.72,22.50
TWO ROCK UNION,California,CALIFORNIA,="0640260",Sonoma County,123,6.67,18.44
UKIAH UNIFIED,California,CALIFORNIA,="0640300",Mendocino County,5938,277.87,21.37
UNCHARTED SHORES ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601556",Del Norte County,254,12.28,20.68
UNION ELEMENTARY,California,CALIFORNIA,="0640320",Santa Clara County,5727,241.01,23.76
UNION HILL ELEMENTARY,California,CALIFORNIA,="0640380",Nevada County,691,33.62,20.55
UNION STREET CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602058",Humboldt County,101,6.05,16.69
UNITY MIDDLE COLLEGE HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602113",Orange County,98,9.40,10.43
UNIV PREPARATION CHARTER SCH @ CSU CHANNEL ISLANDS DISTRICT,CALIFORNIA,CALIFORNIA,="0602011",Ventura County,695,34.79,19.98
UNIVERSITY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601834",Fresno County,483,20.30,23.79
UNIVERSITY PREPARATORY ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602233",Santa Clara County,702,34.34,20.44
UNIVERSITY PREPARATORY DISTRICT,CALIFORNIA,CALIFORNIA,="0601759",Shasta County,955,45.29,21.09
UNIVERSITY PREPARATORY VALUE HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602083",Los Angeles County,475,25.44,18.67
UPLAND UNIFIED,California,CALIFORNIA,="0600016",San Bernardino County,10228,442.91,23.09
UPPER LAKE UNIFIED,CALIFORNIA,CALIFORNIA,="0601442",Lake County,852,41.05,20.76
URBAN DISCOVERY ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601551",San Diego County,564,22.40,25.18
URBAN MONTESSORI CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601816",Alameda County,395,11.80,33.47
VACAVILLE UNIFIED,California,CALIFORNIA,="0640590",Solano County,12447,556.97,22.35
VAL VERDE UNIFIED,California,CALIFORNIA,="0691135",Riverside County,19303,843.43,22.89
VALIENTE COLLEGE PREPARATORY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602256",Los Angeles County,157,11.00,14.27
VALLE LINDO ELEMENTARY,California,CALIFORNIA,="0640650",Los Angeles County,1005,45.00,22.33
VALLECITO UNION,California,CALIFORNIA,="0640680",Calaveras County,544,37.76,14.41
VALLECITOS ELEMENTARY,California,CALIFORNIA,="0640710",San Diego County,187,10.00,18.70
VALLEJO CITY UNIFIED,California,CALIFORNIA,="0640740",Solano County,11095,437.75,25.35
VALLEY CENTER-PAUMA UNIFIED,California,CALIFORNIA,="0600069",San Diego County,3865,173.75,22.24
VALLEY CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601586",Los Angeles County,276,12.00,23.00
VALLEY CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602282",Stanislaus County,121,9.40,12.87
VALLEY CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602468",Los Angeles County,289,11.50,25.13
VALLEY HOME JOINT ELEMENTARY,California,CALIFORNIA,="0640800",Stanislaus County,145,9.00,16.11
VALLEY INTERNATIONAL PREPARATORY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601953",Los Angeles County,233,15.87,14.68
VALLEY LIFE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601508",Tulare County,708,36.43,19.43
VALLEY OAK CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601803",Ventura County,68,2.15,31.63
VALLEY ROP,California,CALIFORNIA,="0600097",Fresno County,="0",–,–
VALLEY ROP JPA,California,CALIFORNIA,="0601387",Fresno County,†,†,†
VALLEY VIEW CHARTER PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0602478",San Joaquin County,605,20.14,30.04
VALOR ACADEMY ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601529",Los Angeles County,404,16.00,25.25
VALOR ACADEMY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601789",Los Angeles County,536,24.00,22.33
VALOR ACADEMY MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601679",Los Angeles County,512,20.00,25.60
VAUGHN NEXT CENTURY LEARNING CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601898",Los Angeles County,3094,141.67,21.84
VENTURA CHARTER SCHOOL OF ARTS AND GLOBAL EDUCATION DISTRICT,CALIFORNIA,CALIFORNIA,="0602193",Ventura County,432,19.75,21.87
VENTURA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691047",Ventura County,658,81.74,8.05
VENTURA COUNTY ROP,California,CALIFORNIA,="0600148",Ventura County,="0",–,–
VENTURA COUNTY SCHOOLS BUSINESS SERVICES JPA,California,CALIFORNIA,="0601354",Ventura County,†,†,†
VENTURA UNIFIED,California,CALIFORNIA,="0640980",Ventura County,15871,646.27,24.56
VENTURE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601963",San Joaquin County,1588,78.80,20.15
VICTOR ELEMENTARY,California,CALIFORNIA,="0641040",San Bernardino County,12358,503.00,24.57
VICTOR VALLEY UNION HIGH,California,CALIFORNIA,="0636972",San Bernardino County,10641,432.81,24.59
VILLAGE CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601736",Los Angeles County,289,13.00,22.23
VILLAGE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602149",Sonoma County,90,5.00,18.00
VINCENT ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602151",Alameda County,183,8.00,22.88
VINELAND ELEMENTARY,California,CALIFORNIA,="0641130",Kern County,666,32.30,20.62
VIRTUAL PREPARATORY ACADEMY AT MONTEREY DISTRICT,CALIFORNIA,CALIFORNIA,="0602536",Monterey County,11,3.00,3.67
VISALIA UNIFIED,California,CALIFORNIA,="0641160",Tulare County,28884,1287.52,22.43
VISION QUEST & CAREER PATHWAY DISTRICT,CALIFORNIA,CALIFORNIA,="0602537",San Joaquin County,197,–,–
VISIONS IN EDUCATION DISTRICT,CALIFORNIA,CALIFORNIA,="0602353",Sacramento County,7189,255.24,28.17
VISTA CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601871",Los Angeles County,348,15.00,23.20
VISTA CONDOR GLOBAL ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601760",Orange County,223,10.00,22.30
VISTA DEL MAR UNION,California,CALIFORNIA,="0641220",Santa Barbara County,25,3.00,8.33
VISTA HERITAGE GLOBAL ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602434",Orange County,273,14.50,18.83
VISTA HORIZON GLOBAL ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602515",Los Angeles County,72,3.00,24.00
VISTA NORTE PUBLIC CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601715",San Bernardino County,468,21.62,21.65
VISTA OAKS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601779",San Joaquin County,874,32.40,26.98
VISTA REAL CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602465",Ventura County,1499,74.91,20.01
VISTA SPRINGS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601463",San Diego County,251,10.45,24.02
VISTA UNIFIED,California,CALIFORNIA,="0641190",San Diego County,19722,884.21,22.30
VOICES COLLEGE BOUND LANGUAGE ACADEMY AT STOCKTON DISTRICT,CALIFORNIA,CALIFORNIA,="0602545",San Joaquin County,45,3.00,15.00
VOICES COLLEGE-BOUND LANG ACAD @ W. CONTRA COSTA CO DISTRICT,CALIFORNIA,CALIFORNIA,="0601921",Contra Costa County,210,8.00,26.25
VOICES COLLEGE-BOUND LANGUAGE ACAD AT MORGAN HILL DISTRICT,CALIFORNIA,CALIFORNIA,="0601771",Santa Clara County,363,13.00,27.92
VOICES COLLEGE-BOUND LANGUAGE ACAD AT MT. PLEASANT DISTRICT,CALIFORNIA,CALIFORNIA,="0602064",Santa Clara County,315,13.00,24.23
VOICES COLLEGE-BOUND LANGUAGE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601993",Santa Clara County,431,18.00,23.94
VOX COLLEGIATE OF LOS ANGELES DISTRICT,CALIFORNIA,CALIFORNIA,="0601974",Los Angeles County,140,6.00,23.33
W.E.B. DUBOIS PUBLIC CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602308",Fresno County,337,18.31,18.41
WALDEN ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602420",Glenn County,190,10.00,19.00
WALLIS ANNENBERG HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602413",Los Angeles County,482,25.00,19.28
WALNUT CREEK ELEMENTARY,California,CALIFORNIA,="0641250",Contra Costa County,3467,151.51,22.88
WALNUT VALLEY UNIFIED,California,CALIFORNIA,="0641280",Los Angeles County,13493,557.49,24.20
WARNER UNIFIED,California,CALIFORNIA,="0600042",San Diego County,208,14.60,14.25
WASCO UNION ELEMENTARY,California,CALIFORNIA,="0641400",Kern County,3455,153.24,22.55
WASCO UNION HIGH,California,CALIFORNIA,="0641430",Kern County,1921,83.91,22.89
WASHINGTON COLONY ELEMENTARY,California,CALIFORNIA,="0641460",Fresno County,446,22.00,20.27
WASHINGTON UNIFIED,California,CALIFORNIA,="0641580",Yolo County,7521,349.28,21.53
WASHINGTON UNIFIED,California,CALIFORNIA,="0601415",Fresno County,2557,125.83,20.32
WASHINGTON UNION ELEMENTARY,California,CALIFORNIA,="0641610",Monterey County,791,35.00,22.60
WATERFORD UNIFIED,California,CALIFORNIA,="0600063",Stanislaus County,1810,81.79,22.13
WATSONVILLE PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0602497",Santa Cruz County,220,8.00,27.50
WATTS LEARNING CENTER CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601699",Los Angeles County,404,17.64,22.90
WATTS LEARNING CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601573",Los Angeles County,382,15.00,25.47
WAUGH ELEMENTARY,California,CALIFORNIA,="0641790",Sonoma County,808,36.84,21.93
WAUKENA JOINT UNION ELEMENTARY,California,CALIFORNIA,="0641820",Tulare County,224,–,–
WE THE PEOPLE HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602529",Los Angeles County,22,1.41,15.60
WEAVER UNION,California,CALIFORNIA,="0641880",Merced County,2960,133.99,22.09
WEED UNION ELEMENTARY,California,CALIFORNIA,="0641980",Siskiyou County,298,15.26,19.53
WEST CONTRA COSTA UNIFIED,California,CALIFORNIA,="0632550",Contra Costa County,27383,1164.88,23.51
WEST COUNTY TRANSPORTATION JPA,California,CALIFORNIA,="0601383",Sonoma County,†,†,†
WEST COVINA UNIFIED,California,CALIFORNIA,="0642000",Los Angeles County,8227,392.97,20.94
WEST PARK ELEMENTARY,California,CALIFORNIA,="0642060",Fresno County,635,37.96,16.73
WEST SIDE UNION ELEMENTARY,California,CALIFORNIA,="0642270",Sonoma County,157,8.00,19.63
WEST SONOMA COUNTY UNION HIGH,California,CALIFORNIA,="0602670",Sonoma County,1851,92.26,20.06
WEST VALLEY SCHOOLS TRANSPORTATION AGENCY JPA,California,CALIFORNIA,="0601389",Santa Clara County,†,†,†
WESTERN PLACER UNIFIED,California,CALIFORNIA,="0642140",Placer County,7081,306.78,23.08
WESTERN SIERRA COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602473",Placer County,805,35.43,22.72
WESTMINSTER,California,CALIFORNIA,="0642150",Orange County,8607,366.90,23.46
WESTMORLAND UNION ELEMENTARY,California,CALIFORNIA,="0642180",Imperial County,369,20.00,18.45
WESTSIDE ELEMENTARY,California,CALIFORNIA,="0642210",Fresno County,180,9.00,20.00
WESTSIDE UNION ELEMENTARY,California,CALIFORNIA,="0642120",Los Angeles County,9172,357.34,25.67
WESTWOOD UNIFIED,California,CALIFORNIA,="0642300",Lassen County,189,11.49,16.45
WHEATLAND,California,CALIFORNIA,="0642330",Yuba County,1278,59.02,21.65
WHEATLAND UNION HIGH,California,CALIFORNIA,="0642350",Yuba County,932,41.73,22.33
WHITMORE UNION ELEMENTARY,California,CALIFORNIA,="0642420",Shasta County,52,2.01,25.87
WHITTIER CITY ELEMENTARY,California,CALIFORNIA,="0642450",Los Angeles County,5836,249.83,23.36
WHITTIER UNION HIGH,California,CALIFORNIA,="0642480",Los Angeles County,11253,439.42,25.61
WILDER'S PREPARATORY ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602449",Los Angeles County,400,18.00,22.22
WILDER'S PREPARATORY ACADEMY CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601495",Los Angeles County,214,10.00,21.40
WILDFLOWER OPEN CLASSROOM DISTRICT,CALIFORNIA,CALIFORNIA,="0602239",Butte County,162,9.00,18.00
WILLIAM (R) ROUSE ROP,California,CALIFORNIA,="0600126",Sierra County,="0",–,–
WILLIAM S. HART UNION HIGH,California,CALIFORNIA,="0642510",Los Angeles County,21786,922.15,23.63
WILLIAMS UNIFIED,California,CALIFORNIA,="0642540",Colusa County,1338,60.39,22.16
WILLITS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601916",Mendocino County,124,6.35,19.53
WILLITS ELEMENTARY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601497",Mendocino County,133,7.50,17.73
WILLITS UNIFIED,California,CALIFORNIA,="0642560",Mendocino County,1504,88.90,16.92
WILLOW CREEK ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601608",Marin County,346,18.00,19.22
WILLOW CREEK ELEMENTARY,California,CALIFORNIA,="0642600",Siskiyou County,34,3.00,11.33
WILLOW GROVE UNION ELEMENTARY,California,CALIFORNIA,="0642630",San Benito County,12,2.00,6.00
WILLOWS UNIFIED,California,CALIFORNIA,="0642710",Glenn County,1363,65.85,20.70
WILMAR UNION ELEMENTARY,California,CALIFORNIA,="0642750",Sonoma County,217,9.80,22.14
WILSONA ELEMENTARY,California,CALIFORNIA,="0642810",Los Angeles County,1207,52.00,23.21
WINDSOR UNIFIED,California,CALIFORNIA,="0600034",Sonoma County,4700,233.62,20.12
WINSHIP COMMUNITY DISTRICT,CALIFORNIA,CALIFORNIA,="0602422",Sutter County,100,3.53,28.33
WINSHIP-ROBBINS,California,CALIFORNIA,="0642900",Sutter County,120,6.00,20.00
