,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
684,fortuna union high,California,108.56,6,2.9,0,0,0.95,0,2.95,0,1,27.45,Fortuna Union High,614190.0,Humboldt County,6023.0,3.0,CALIFORNIA,1138,53.31,21.35
685,fortune district,CALIFORNIA,194.18,33.16,2.5,9,0,0,0,7,0,1,49.32,Fortune District,602432.0,Sacramento County,6067.0,1.0,CALIFORNIA,1890,74.25,25.45
686,forty-niner rop,California,–,–,–,–,–,–,–,–,–,–,–,Forty-Niner ROP,600082.0,Placer County,6061.0,1.0,CALIFORNIA,0,–,–
687,fountain valley elementary,California,525.75,109.5,3,0,0,5,0,14,13,6,81.71,Fountain Valley Elementary,614220.0,Orange County,6059.0,10.0,CALIFORNIA,6165,242.48,25.42
688,fowler unified,California,260.99,36.5,3,0,0,4,0,7,1,1,65.38,Fowler Unified,614250.0,Fresno County,6019.0,9.0,CALIFORNIA,2582,118.6,21.77
689,francophone charter school of oakland district,CALIFORNIA,26.25,4,0,0,0,1,0,0,0,0,5.75,Francophone Charter School of Oakland District,601839.0,Alameda County,6001.0,1.0,CALIFORNIA,311,13,23.92
690,franklin elementary,California,39.3,4.35,0,0,0,0.5,0,0.5,0,0,10.95,Franklin Elementary,614340.0,Sutter County,6101.0,1.0,CALIFORNIA,464,20,23.2
691,franklin-mckinley elementary,California,673.29,81.48,6.9,0,0,7,0,20.9,25,9.8,160.36,Franklin-McKinley Elementary,614370.0,Santa Clara County,6085.0,16.0,CALIFORNIA,6611,317.7,20.81
692,fremont unified,California,2813.22,269.34,52.5,9,5,14,0,66,46,31.6,551.55,Fremont Unified,614400.0,Alameda County,6001.0,43.0,CALIFORNIA,35187,1483.93,23.71
693,fremont union high,California,885.02,113.98,21,5,5,6.4,0,32.24,12.8,11.4,114.95,Fremont Union High,614430.0,Santa Clara County,6085.0,6.0,CALIFORNIA,10836,455.7,23.78
694,french gulch-whiskeytown elementary,California,4.88,1.44,0,0,0,0,0,0.1,0,0,0.49,French Gulch-Whiskeytown Elementary,614490.0,Shasta County,6089.0,1.0,CALIFORNIA,30,2,15
695,freshwater elementary,California,34.13,11.25,0,0,0,0,0,1.5,0,0,2.65,Freshwater Elementary,614520.0,Humboldt County,6023.0,2.0,CALIFORNIA,323,15,21.53
696,fresno county office of education,California,995.22,221.74,2,3.95,1,63.56,7,11,39.72,36.4,449.61,Fresno County Office of Education,691007.0,Fresno County,6019.0,4.0,CALIFORNIA,791,92.99,8.51
697,fresno rop,California,–,–,–,–,–,–,–,–,–,–,–,Fresno ROP,600098.0,Fresno County,6019.0,1.0,CALIFORNIA,0,–,–
698,fresno unified,California,7505.33,928.5,141,0,0,29,2,231,117.5,76.9,3284.64,Fresno Unified,614550.0,Fresno County,6019.0,100.0,CALIFORNIA,70088,2159.3,32.46
699,fruitvale elementary,California,279.75,38.83,3.5,1.25,0,3,1,8,4,2,57.07,Fruitvale Elementary,614700.0,Kern County,6029.0,5.0,CALIFORNIA,3055,141.97,21.52
700,fuente nueva charter district,CALIFORNIA,17.16,6.41,1,0,0,0,0,1,0,0,2.75,Fuente Nueva Charter District,601882.0,Humboldt County,6023.0,1.0,CALIFORNIA,141,6,23.5
701,fullerton elementary,California,1086.36,172.59,5.9,15.5,0,12,0.5,30.9,32.6,18.5,244.02,Fullerton Elementary,614730.0,Orange County,6059.0,20.0,CALIFORNIA,12141,465.69,26.07
702,fullerton joint union high,California,1008.39,121.4,27.1,0,0,5,0,35,10,16,169.38,Fullerton Joint Union High,614760.0,Orange County,6059.0,8.0,CALIFORNIA,13473,544.51,24.74
703,fusion charter district,CALIFORNIA,12.5,0,1,0.5,0,0,0,1.5,0,0,2,Fusion Charter District,601856.0,Stanislaus County,6099.0,1.0,CALIFORNIA,143,5.5,26
704,futures high district,CALIFORNIA,32.07,2.75,1.5,0,0,0,0,1,0,0,8.32,Futures High District,601775.0,Sacramento County,6067.0,1.0,CALIFORNIA,449,18.5,24.27
705,gabriella charter 2 district,CALIFORNIA,36.36,10.58,0.4,0,0,3.25,0,2,0,0.2,2.4,Gabriella Charter 2 District,601652.0,Los Angeles County,6037.0,1.0,CALIFORNIA,291,12,24.25
706,gabriella charter district,CALIFORNIA,69.17,22.04,1.6,0,0,5.02,0,2,0,0.8,6.13,Gabriella Charter District,602143.0,Los Angeles County,6037.0,1.0,CALIFORNIA,468,21.53,21.74
707,galt joint union elementary,California,410.44,85.5,2,0.5,0,4,0,11,9.44,4,77.04,Galt Joint Union Elementary,614790.0,Sacramento County,6067.0,6.0,CALIFORNIA,3332,172.27,19.34
708,galt joint union high,California,221.01,23,5,0,0,5,0,5.95,1,2,56.28,Galt Joint Union High,614820.0,Sacramento County,6067.0,3.0,CALIFORNIA,2209,99.78,22.14
709,ganas academy district,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,GANAS Academy District,602499.0,Los Angeles County,6037.0,0.0,CALIFORNIA,†,†,†
710,garden grove unified,California,3790.59,448.31,43.5,2,3.45,25,0,106.3,85,39.5,956.25,Garden Grove Unified,614880.0,Orange County,6059.0,66.0,CALIFORNIA,40124,1688.88,23.76
711,garfield elementary,California,7.37,1.47,0,0,0,0,0,1,0,0,0.9,Garfield Elementary,614910.0,Humboldt County,6023.0,1.0,CALIFORNIA,58,3,19.33
712,garvey elementary,California,461.23,31.83,8,0,0,6,0,11,14,6,95.26,Garvey Elementary,614940.0,Los Angeles County,6037.0,11.0,CALIFORNIA,4431,189.02,23.44
713,garvey/allen visual & performing arts academy for stem dist,CALIFORNIA,8,1,0,0,0,0,0,0,0,0,0,Garvey/Allen Visual & Performing Arts Academy for STEM DIST,602511.0,Riverside County,6065.0,1.0,CALIFORNIA,122,5,24.4
714,gateway college and career academy district,CALIFORNIA,23.25,10,3.5,0,0,1,0,0,0,0,2.5,Gateway College and Career Academy District,602008.0,Riverside County,6065.0,1.0,CALIFORNIA,92,3.25,28.31
715,gateway high district,CALIFORNIA,33.74,2.25,0,0.8,0,0,1,1,0,0,0.69,Gateway High District,602426.0,San Francisco County,6075.0,1.0,CALIFORNIA,519,28,18.54
716,gateway international district,CALIFORNIA,55.98,15.06,0.5,0,0,1,0,2,0,0,8.72,Gateway International District,602034.0,Sacramento County,6067.0,1.0,CALIFORNIA,565,25.5,22.16
717,gateway middle district,CALIFORNIA,23.35,2.25,0,1,0,0,0,2,0,0,1,Gateway Middle District,601861.0,San Francisco County,6075.0,1.0,CALIFORNIA,305,17.1,17.84
718,gateway unified,California,284.71,59.65,5.55,2.25,0,3.5,0,8,3.2,3,64.28,Gateway Unified,614950.0,Shasta County,6089.0,8.0,CALIFORNIA,2184,108.5,20.13
719,gazelle union elementary,California,7,2.5,0,0,0,0,0,1,0,0,0.5,Gazelle Union Elementary,614970.0,Siskiyou County,6093.0,1.0,CALIFORNIA,38,2,19
720,general shafter elementary,California,21,3,0,0,0,0,0,1,0,0,6,General Shafter Elementary,615000.0,Kern County,6029.0,1.0,CALIFORNIA,178,9,19.78
721,gerber union elementary,California,39.59,3.69,2,0,0,0.5,0,1,0,1,13.53,Gerber Union Elementary,615090.0,Tehama County,6103.0,1.0,CALIFORNIA,382,15,25.47
722,geyserville unified,California,34.29,4.01,0,0,0,0.5,0,0.5,0,0,9.02,Geyserville Unified,615150.0,Sonoma County,6097.0,3.0,CALIFORNIA,209,16.26,12.85
723,gilroy prep (a navigator school) district,CALIFORNIA,47.25,10,1,0,0,0,0,3,1,0.4,11.85,Gilroy Prep (a Navigator School) District,601831.0,Santa Clara County,6085.0,1.0,CALIFORNIA,539,18,29.94
724,gilroy unified,California,947.77,114.7,16.2,7,0,5,1,23.05,16.4,7,199.16,Gilroy Unified,615180.0,Santa Clara County,6085.0,15.0,CALIFORNIA,10821,452.08,23.94
725,girls athletic leadership school los angeles district,CALIFORNIA,24.29,1.56,0,0,0,2,0,2,0,0,2,Girls Athletic Leadership School Los Angeles District,601466.0,Los Angeles County,6037.0,1.0,CALIFORNIA,228,14,16.29
726,glacier high school charter district,CALIFORNIA,13.62,0,1,0.3,0,1,0,1,0,0,2.73,Glacier High School Charter District,601555.0,Madera County,6039.0,1.0,CALIFORNIA,87,6.99,12.45
727,glendale unified,California,2181.79,380.61,27.2,0,0,20,0,64.5,32.55,30.9,395.97,Glendale Unified,615240.0,Los Angeles County,6037.0,34.0,CALIFORNIA,24924,1040.3,23.96
728,glendora unified,California,581.79,89.96,13.2,1,0,3,2,14,10.8,8,97.66,Glendora Unified,615270.0,Los Angeles County,6037.0,10.0,CALIFORNIA,6833,292.7,23.34
729,glenn county office of education,California,168.85,41.15,0.1,0,1,6,0,0.67,6.19,4.6,58.83,Glenn County Office of Education,691008.0,Glenn County,6021.0,3.0,CALIFORNIA,347,16.64,20.85
730,glenn county rop,California,–,–,–,–,–,–,–,–,–,–,–,Glenn County ROP,600099.0,Glenn County,6021.0,1.0,CALIFORNIA,0,–,–
731,global education academy 2 district,CALIFORNIA,11,1.5,0,0,0,0,0,1,0,0,0.5,Global Education Academy 2 District,602032.0,Los Angeles County,6037.0,1.0,CALIFORNIA,110,6,18.33
732,global education academy district,CALIFORNIA,30.25,8.75,0,0,0,0,0,2,0,0,1.5,Global Education Academy District,601702.0,Los Angeles County,6037.0,1.0,CALIFORNIA,277,14,19.79
733,goals academy district,CALIFORNIA,29.95,8.8,0,0,0,2,0,0,0,0,8.52,GOALS Academy District,601948.0,Orange County,6059.0,1.0,CALIFORNIA,251,8,31.38
734,goethe international charter district,CALIFORNIA,30.31,4.4,0,0,0,2,0,1,0,0,0.15,Goethe International Charter District,602178.0,Los Angeles County,6037.0,1.0,CALIFORNIA,419,21,19.95
735,gold oak union elementary,California,44.21,3.75,0,0,0,0.3,0,1.7,0,0,11.42,Gold Oak Union Elementary,615390.0,El Dorado County,6017.0,2.0,CALIFORNIA,419,21.6,19.4
736,gold rush charter district,CALIFORNIA,40.63,7,0,0,0,1.3,0,0.5,0,0,4.82,Gold Rush Charter District,601780.0,Tuolumne County,6109.0,1.0,CALIFORNIA,471,20.01,23.54
737,gold trail union elementary,California,56.8,12.44,0,0,0,0,0,1,0.2,0,10.98,Gold Trail Union Elementary,615450.0,El Dorado County,6017.0,2.0,CALIFORNIA,593,29.3,20.24
738,golden eagle charter district,CALIFORNIA,56.64,3.51,0,0,0,1,0,0,0,0,12.12,Golden Eagle Charter District,602039.0,Siskiyou County,6093.0,1.0,CALIFORNIA,573,31.72,18.06
739,golden feather union elementary,California,13.18,1.98,0,0,0.05,0,0,1,0,0,4.75,Golden Feather Union Elementary,615480.0,Butte County,6007.0,1.0,CALIFORNIA,62,4,15.5
740,golden gate community district,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,Golden Gate Community District,602067.0,Contra Costa County,6013.0,0.0,CALIFORNIA,†,†,†
741,golden oak montessori of hayward district,CALIFORNIA,33,12,0,0,0,0,0,1,0,1,5,Golden Oak Montessori of Hayward District,601655.0,Alameda County,6001.0,1.0,CALIFORNIA,308,11,28
742,golden plains unified,California,170.44,22.56,3,1,0,2,0,7,0,0,51.88,Golden Plains Unified,691134.0,Fresno County,6019.0,6.0,CALIFORNIA,1520,73,20.82
743,golden valley charter district,CALIFORNIA,21.51,0,0,0,0,2,0,1,0,0,0,Golden Valley Charter District,602012.0,Ventura County,6111.0,1.0,CALIFORNIA,505,15.51,32.56
744,golden valley orchard district,CALIFORNIA,24.42,8.08,0,0,0,0.9,0,1,0,0,1.44,Golden Valley Orchard District,601587.0,Sacramento County,6067.0,1.0,CALIFORNIA,277,11,25.18
745,golden valley river district,CALIFORNIA,25.53,7.89,0,0,0,1.1,0,1,0,0,1.54,Golden Valley River District,601669.0,Sacramento County,6067.0,1.0,CALIFORNIA,311,12,25.92
746,golden valley tahoe district,CALIFORNIA,7.48,2.48,0,0,0,0,0,0,0,0,0,Golden Valley Tahoe District,601982.0,Placer County,6061.0,1.0,CALIFORNIA,107,5,21.4
747,golden valley unified,California,207.28,22,2.96,0.9,0.14,3,0,8.47,0,2.1,54.07,Golden Valley Unified,600068.0,Madera County,6039.0,9.0,CALIFORNIA,2089,96.14,21.73
748,goleta union elementary,California,475.06,75.76,0,0,0,8,0,9,11.1,10,141.85,Goleta Union Elementary,615510.0,Santa Barbara County,6083.0,10.0,CALIFORNIA,3378,188.71,17.9
749,gompers preparatory academy district,CALIFORNIA,145.7,22,4,1,0,2,0,4,2,1,22,Gompers Preparatory Academy District,601788.0,San Diego County,6073.0,1.0,CALIFORNIA,1337,62.2,21.5
750,gonzales unified,California,207.99,24.25,3.83,5,1,1,0,6,4,2,52,Gonzales Unified,600046.0,Monterey County,6053.0,3.0,CALIFORNIA,2254,90.16,25
751,gorman joint,California,–,–,–,–,–,–,–,–,–,–,–,Gorman Joint,615600.0,Los Angeles County,6037.0,1.0,CALIFORNIA,59,–,–
752,gorman learning center district,CALIFORNIA,176.24,13.1,1,7.9,0,7,0.9,0,0,2,66.34,Gorman Learning Center District,602117.0,San Bernardino County,6071.0,1.0,CALIFORNIA,1242,59,21.05
753,gorman learning center san bernardino/santa clarita district,CALIFORNIA,183.5,12.5,1.9,2.63,0,16.65,0.95,0,0,2,73.25,Gorman Learning Center San Bernardino/Santa Clarita District,601823.0,Los Angeles County,6037.0,1.0,CALIFORNIA,1513,55.12,27.45
754,grace hopper stem academy district,CALIFORNIA,9.5,1,0,0,0,0,0,1,0,0,0.5,Grace Hopper STEM Academy District,602048.0,Los Angeles County,6037.0,1.0,CALIFORNIA,70,6,11.67
755,granada hills charter district,CALIFORNIA,372.08,19.4,17,0,0,11,0,0,3,2,80,Granada Hills Charter District,602206.0,Los Angeles County,6037.0,1.0,CALIFORNIA,5462,209.68,26.05
756,granite mountain charter district,CALIFORNIA,168.16,0,1,0,0,9.38,0,0.2,4,5,29.37,Granite Mountain Charter District,602516.0,San Bernardino County,6071.0,1.0,CALIFORNIA,3285,101.21,32.46
757,grant elementary,California,56.11,9.74,0.71,0,0,1,0,1,0.4,0,9.21,Grant Elementary,615690.0,Shasta County,6089.0,1.0,CALIFORNIA,633,31.17,20.31
758,grass valley elementary,California,180.26,47.8,3,1,0,2,0,5.75,4,0.8,22.14,Grass Valley Elementary,615780.0,Nevada County,6057.0,5.0,CALIFORNIA,1694,77.49,21.86
759,gratton elementary,California,13.25,0,0,0,0,1,0,0,0.25,0,0,Gratton Elementary,615810.0,Stanislaus County,6099.0,2.0,CALIFORNIA,143,9,15.89
760,gravenstein union elementary,California,77.75,18.87,1,0,0,1,0,2,0,0,8.28,Gravenstein Union Elementary,615840.0,Sonoma County,6097.0,4.0,CALIFORNIA,757,42.57,17.78
761,graves elementary,California,4,2,0,0,0,0,0,0,0,0,0,Graves Elementary,615870.0,Monterey County,6053.0,1.0,CALIFORNIA,40,2,20
762,great valley academy - salida district,CALIFORNIA,77.17,19,0,0,0,0,0,3,0,0,15.5,Great Valley Academy - Salida District,602244.0,Stanislaus County,6099.0,1.0,CALIFORNIA,815,35.67,22.85
763,great valley academy district,CALIFORNIA,89.6,23,0,0,0,0,0,3.5,0,0,15,Great Valley Academy District,602363.0,Stanislaus County,6099.0,1.0,CALIFORNIA,871,38.1,22.86
764,greater anaheim selpa jpa,California,–,–,†,–,–,–,–,–,–,–,–,Greater Anaheim SELPA JPA,601416.0,Orange County,6059.0,0.0,CALIFORNIA,†,†,†
765,greater san diego academy district,CALIFORNIA,14.4,0,0,0,0,1,0,0,0,0.4,1,Greater San Diego Academy District,602129.0,San Diego County,6073.0,1.0,CALIFORNIA,216,9,24
766,green point elementary,California,1.4,0,0,0,0,0.2,0,0.2,0,0,0,Green Point Elementary,615990.0,Humboldt County,6023.0,1.0,CALIFORNIA,10,1,10
767,greenfield union,California,779.2,47.54,1.8,20.83,0,3,0,26,19.49,11,152.88,Greenfield Union,616050.0,Kern County,6029.0,12.0,CALIFORNIA,9334,414.67,22.51
768,greenfield union elementary,California,382.36,66.97,7,1,0,4,0,10,4,4,117.66,Greenfield Union Elementary,616080.0,Monterey County,6053.0,5.0,CALIFORNIA,3465,140.73,24.62
769,grenada elementary,California,29.55,9.86,0.86,0,0,0.3,0,0.7,0,0,5.33,Grenada Elementary,616110.0,Siskiyou County,6093.0,1.0,CALIFORNIA,204,10.5,19.43
770,gridley unified,California,214.81,25.47,3.98,2,0,1,0,5.44,3.5,1.4,49.95,Gridley Unified,600051.0,Butte County,6007.0,5.0,CALIFORNIA,2080,100.76,20.64
771,griffin academy high district,CALIFORNIA,5.86,1.8,0,0,0,0.46,0,0,0,0,0.8,Griffin Academy High District,602530.0,Solano County,6095.0,1.0,CALIFORNIA,104,2.8,37.14
772,grimmway academy district,CALIFORNIA,102,37,4,1,0,2,0,4,1,0,23,Grimmway Academy District,602454.0,Kern County,6029.0,1.0,CALIFORNIA,820,27,30.37
773,grimmway academy shafter district,CALIFORNIA,75.5,26,2,0.5,0,4,0,2.5,2,0,14,Grimmway Academy Shafter District,602091.0,Kern County,6029.0,1.0,CALIFORNIA,700,21.5,32.56
774,grossmont secondary district,CALIFORNIA,24.18,2,0.5,0.3,0,1.55,0,0,0.35,0.35,3.43,Grossmont Secondary District,601940.0,San Diego County,6073.0,1.0,CALIFORNIA,331,10,33.1
775,grossmont union high,California,1517.88,202.43,31.2,17.67,7,8.5,0,36.58,16.41,9,309.47,Grossmont Union High,616230.0,San Diego County,6073.0,15.0,CALIFORNIA,16996,719.65,23.62
776,grove district,CALIFORNIA,27.1,0,1,0,0,0.6,0,0,0,0,3.5,Grove District,602201.0,San Bernardino County,6071.0,1.0,CALIFORNIA,243,18,13.5
777,growth public district,CALIFORNIA,22,6,0,0,0,1,0,1,0,0,3,Growth Public District,602183.0,Sacramento County,6067.0,1.0,CALIFORNIA,243,10,24.3
778,guadalupe union elementary,California,216.8,37,0,2,0,2,0,3,1,1,94,Guadalupe Union Elementary,616260.0,Santa Barbara County,6083.0,3.0,CALIFORNIA,1270,58.8,21.6
779,guajome learning center district,CALIFORNIA,7.7,0,1,0,0,1,0,0,0.1,1,0,Guajome Learning Center District,602247.0,San Diego County,6073.0,1.0,CALIFORNIA,85,3.6,23.61
780,guajome park academy charter district,CALIFORNIA,126.3,10.25,3,0,0,5.1,0,0,1,2,17.75,Guajome Park Academy Charter District,601705.0,San Diego County,6073.0,1.0,CALIFORNIA,1409,74.2,18.99
781,guerneville elementary,California,30.3,7,0,0,0,1,0,1,0,0,5.56,Guerneville Elementary,616320.0,Sonoma County,6097.0,2.0,CALIFORNIA,244,12.8,19.06
782,gustine unified,California,163.2,13.9,4,0,0,3,0,6,0,2,39.72,Gustine Unified,616323.0,Merced County,6047.0,6.0,CALIFORNIA,1765,79.2,22.29
783,hacienda la puente unified,California,1711.96,146.55,31,4,0,9,0,56,25.4,24,524.36,Hacienda la Puente Unified,616325.0,Los Angeles County,6037.0,36.0,CALIFORNIA,17329,752.34,23.03
784,hamilton unified,California,64.44,3.1,1.5,0,0,0,0,2.5,0,0,13.46,Hamilton Unified,601339.0,Glenn County,6021.0,4.0,CALIFORNIA,709,34.38,20.62
785,hanford elementary,California,550.04,62.33,5,13,0,4,0,25,7,6.5,150.6,Hanford Elementary,616470.0,Kings County,6031.0,12.0,CALIFORNIA,5690,240.03,23.71
786,hanford joint union high,California,319.5,16,13,3,0,3,0,14.5,5,3,43.7,Hanford Joint Union High,616500.0,Kings County,6031.0,6.0,CALIFORNIA,4056,171.67,23.63
787,happy camp union elementary,California,17,2,0,0,0,0.3,0,0.7,0,0,5,Happy Camp Union Elementary,616530.0,Siskiyou County,6093.0,1.0,CALIFORNIA,97,6,16.17
788,happy valley elementary,California,8.58,0,0,0,0,1,0,0,0.18,0,0,Happy Valley Elementary,616560.0,Santa Cruz County,6087.0,1.0,CALIFORNIA,105,5.8,18.1
789,happy valley union elementary,California,60.81,9.07,2,0,0,0,0,2,0,0,16.3,Happy Valley Union Elementary,616570.0,Shasta County,6089.0,3.0,CALIFORNIA,468,25.5,18.35
790,harbor springs charter district,CALIFORNIA,14.6,0,0,0.2,0,0.06,0,0.04,0,0.27,3.49,Harbor Springs Charter District,601516.0,San Diego County,6073.0,1.0,CALIFORNIA,287,9.74,29.47
791,hardy brown college prep district,CALIFORNIA,43.42,2.76,1,8,0,0,0,1,0,0,8.96,Hardy Brown College Prep District,602423.0,San Bernardino County,6071.0,1.0,CALIFORNIA,403,19,21.21
792,harmony union elementary,California,32.12,5.85,1,0,0,0.5,0,2.5,0,0,9.27,Harmony Union Elementary,616620.0,Sonoma County,6097.0,2.0,CALIFORNIA,200,13,15.38
793,harriet tubman village charter district,CALIFORNIA,51.25,17.25,3,0,0,1,0,0,0,0,11,Harriet Tubman Village Charter District,601817.0,San Diego County,6073.0,1.0,CALIFORNIA,414,17,24.35
794,hart rop,California,–,–,–,–,–,–,–,–,–,–,–,Hart ROP,600111.0,Los Angeles County,6037.0,1.0,CALIFORNIA,0,–,–
795,hart-ransom union elementary,California,83.15,4.75,1,0,0,2.5,0,2,0,0,11.49,Hart-Ransom Union Elementary,616650.0,Stanislaus County,6099.0,2.0,CALIFORNIA,1208,54.66,22.1
796,harvest ridge cooperative charter district,CALIFORNIA,12.4,1.64,0,0,0,0,0,1,0,0,1,Harvest Ridge Cooperative Charter District,602216.0,Placer County,6061.0,1.0,CALIFORNIA,179,7.76,23.07
797,hawking s.t.e.a.m. charter district,CALIFORNIA,91.3,1.5,2,0,0,2,0,2,2,1,13.5,Hawking S.T.E.A.M. Charter District,602075.0,San Diego County,6073.0,1.0,CALIFORNIA,1295,59,21.95
798,hawthorne,California,669.37,62.32,11,0,0,11,0,18.8,6,7,168.9,Hawthorne,616680.0,Los Angeles County,6037.0,11.0,CALIFORNIA,7581,305.63,24.8
799,hayward collegiate charter district,CALIFORNIA,17,2,0,0,0,1,0,1,0,0,8,Hayward Collegiate Charter District,602523.0,Alameda County,6001.0,1.0,CALIFORNIA,116,4,29
800,hayward unified,California,1942.17,181.61,40,0,0,26,0,54.5,41,22,624.67,Hayward Unified,616740.0,Alameda County,6001.0,32.0,CALIFORNIA,19069,841.09,22.67
801,healdsburg unified,California,161.15,9.76,3,0,1,3,0,5,1,2,33.14,Healdsburg Unified,600044.0,Sonoma County,6097.0,4.0,CALIFORNIA,1317,78.6,16.76
802,health sciences high district,CALIFORNIA,58.5,11,0,1,0,0,0,3,0,0,11,Health Sciences High District,602374.0,San Diego County,6073.0,1.0,CALIFORNIA,615,29,21.21
803,heartland charter district,CALIFORNIA,222.11,0,2,2,0,1.57,0,1.5,8,4,12.15,Heartland Charter District,601590.0,Kern County,6029.0,1.0,CALIFORNIA,4661,159.89,29.15
804,heartwood charter district,CALIFORNIA,11.42,0,0,1,0,0,0,1,0,0,0,Heartwood Charter District,602512.0,Sonoma County,6097.0,1.0,CALIFORNIA,179,7.3,24.52
805,heber elementary,California,115.41,7.51,2,0,0,3,0,3,1,1,26.21,Heber Elementary,616830.0,Imperial County,6025.0,2.0,CALIFORNIA,1181,54,21.87
806,helendale elementary,California,104.58,10.33,1,0,0,2.16,0,2,0,1,26.17,Helendale Elementary,616860.0,San Bernardino County,6071.0,4.0,CALIFORNIA,1163,53.06,21.92
807,helix high district,CALIFORNIA,184.34,18,6,0,1,1,0,5,1,2,39,Helix High District,602211.0,San Diego County,6073.0,1.0,CALIFORNIA,2469,100.34,24.61
808,hemet unified,California,2643.01,355.62,49,31.55,0,18,1,59.9,34.4,15,668.81,Hemet Unified,616920.0,Riverside County,6065.0,27.0,CALIFORNIA,21573,956.34,22.56
809,heritage k-8 charter district,CALIFORNIA,105.01,25,0,0,0,0,0,4,0,0,15.3,Heritage K-8 Charter District,601660.0,San Diego County,6073.0,1.0,CALIFORNIA,1299,53.71,24.19
810,heritage peak charter district,CALIFORNIA,96.96,2.5,6,0,0,2,0,2,2.14,1.47,9.51,Heritage Peak Charter District,602371.0,Sacramento County,6067.0,1.0,CALIFORNIA,1061,45.54,23.3
811,hermosa beach city elementary,California,92.28,9.75,1,0,0,1,0,3,0,1,11.39,Hermosa Beach City Elementary,617040.0,Los Angeles County,6037.0,2.0,CALIFORNIA,1198,56.5,21.2
